1125965	-5.261026e-07	-6.826020e-07	-3.453894e-07	7240
55904	-4.152464e-07	-6.825986e-07	-3.921461e-07	17479
1117709	-5.260712e-07	-6.825880e-07	-3.454649e-07	7240
47648	-4.152083e-07	-6.825875e-07	-3.922057e-07	17479
39392	-4.151703e-07	-6.825765e-07	-3.922653e-07	17479
1109453	-5.260399e-07	-6.825740e-07	-3.455403e-07	7240
31136	-4.151322e-07	-6.825654e-07	-3.923249e-07	17479
1101197	-5.260085e-07	-6.825599e-07	-3.456158e-07	7240
22880	-4.150941e-07	-6.825543e-07	-3.923845e-07	17479
1092941	-5.259770e-07	-6.825459e-07	-3.456913e-07	7240
14624	-4.150560e-07	-6.825432e-07	-3.924440e-07	17479
6368	-4.150179e-07	-6.825321e-07	-3.925036e-07	17479
1084685	-5.259457e-07	-6.825318e-07	-3.457668e-07	7240
1076429	-5.259142e-07	-6.825178e-07	-3.458423e-07	7240
1068173	-5.258828e-07	-6.825038e-07	-3.459177e-07	7240
1059917	-5.258514e-07	-6.824897e-07	-3.459932e-07	7240
1051661	-5.258199e-07	-6.824757e-07	-3.460686e-07	7240
1043405	-5.257885e-07	-6.824617e-07	-3.461441e-07	7240
1035149	-5.257570e-07	-6.824476e-07	-3.462196e-07	7240
1026893	-5.257255e-07	-6.824336e-07	-3.462950e-07	7240
1018637	-5.256940e-07	-6.824196e-07	-3.463705e-07	7240
1010381	-5.256625e-07	-6.824056e-07	-3.464459e-07	7240
1002125	-5.256310e-07	-6.823915e-07	-3.465213e-07	7240
993869	-5.255995e-07	-6.823775e-07	-3.465967e-07	7240
985613	-5.255679e-07	-6.823635e-07	-3.466722e-07	7240
977357	-5.255364e-07	-6.823495e-07	-3.467476e-07	7240
969101	-5.255048e-07	-6.823354e-07	-3.468230e-07	7240
960845	-5.254733e-07	-6.823215e-07	-3.468984e-07	7240
952589	-5.254417e-07	-6.823074e-07	-3.469738e-07	7240
944333	-5.254101e-07	-6.822934e-07	-3.470492e-07	7240
936077	-5.253785e-07	-6.822794e-07	-3.471246e-07	7240
927821	-5.253469e-07	-6.822654e-07	-3.472000e-07	7240
919565	-5.253153e-07	-6.822514e-07	-3.472754e-07	7240
911309	-5.252836e-07	-6.822373e-07	-3.473508e-07	7240
903053	-5.252519e-07	-6.822233e-07	-3.474262e-07	7240
894797	-5.252203e-07	-6.822093e-07	-3.475015e-07	7240
886541	-5.251886e-07	-6.821953e-07	-3.475769e-07	7240
878285	-5.251570e-07	-6.821813e-07	-3.476523e-07	7240
870029	-5.251252e-07	-6.821672e-07	-3.477276e-07	7240
861773	-5.250935e-07	-6.821533e-07	-3.478030e-07	7240
853517	-5.250618e-07	-6.821392e-07	-3.478783e-07	7240
845261	-5.250301e-07	-6.821252e-07	-3.479537e-07	7240
837005	-5.249984e-07	-6.821112e-07	-3.480290e-07	7240
828749	-5.249666e-07	-6.820972e-07	-3.481044e-07	7240
820493	-5.249349e-07	-6.820832e-07	-3.481797e-07	7240
812237	-5.249031e-07	-6.820692e-07	-3.482550e-07	7240
803981	-5.248713e-07	-6.820552e-07	-3.483304e-07	7240
795725	-5.248395e-07	-6.820412e-07	-3.484057e-07	7240
787469	-5.248077e-07	-6.820272e-07	-3.484810e-07	7240
779213	-5.247759e-07	-6.820132e-07	-3.485563e-07	7240
770957	-5.247441e-07	-6.819992e-07	-3.486316e-07	7240
762701	-5.247122e-07	-6.819852e-07	-3.487069e-07	7240
754445	-5.246804e-07	-6.819712e-07	-3.487822e-07	7240
746189	-5.246485e-07	-6.819572e-07	-3.488575e-07	7240
737933	-5.246166e-07	-6.819432e-07	-3.489328e-07	7240
729677	-5.245847e-07	-6.819292e-07	-3.490080e-07	7240
721421	-5.245528e-07	-6.819152e-07	-3.490833e-07	7240
713165	-5.245209e-07	-6.819012e-07	-3.491586e-07	7240
704909	-5.244891e-07	-6.818872e-07	-3.492339e-07	7240
696653	-5.244571e-07	-6.818732e-07	-3.493091e-07	7240
688397	-5.244252e-07	-6.818592e-07	-3.493844e-07	7240
680141	-5.243932e-07	-6.818452e-07	-3.494597e-07	7240
671885	-5.243613e-07	-6.818312e-07	-3.495349e-07	7240
663629	-5.243293e-07	-6.818173e-07	-3.496102e-07	7240
655373	-5.242973e-07	-6.818033e-07	-3.496854e-07	7240
647117	-5.242653e-07	-6.817893e-07	-3.497606e-07	7240
638861	-5.242333e-07	-6.817753e-07	-3.498359e-07	7240
630605	-5.242013e-07	-6.817613e-07	-3.499111e-07	7240
622349	-5.241693e-07	-6.817473e-07	-3.499863e-07	7240
614093	-5.241372e-07	-6.817333e-07	-3.500615e-07	7240
605837	-5.241051e-07	-6.817193e-07	-3.501368e-07	7240
597581	-5.240731e-07	-6.817053e-07	-3.502120e-07	7240
589325	-5.240410e-07	-6.816913e-07	-3.502872e-07	7240
581069	-5.240090e-07	-6.816774e-07	-3.503624e-07	7240
572813	-5.239768e-07	-6.816634e-07	-3.504376e-07	7240
564557	-5.239447e-07	-6.816495e-07	-3.505127e-07	7240
556301	-5.239126e-07	-6.816355e-07	-3.505879e-07	7240
548045	-5.238805e-07	-6.816215e-07	-3.506631e-07	7240
539789	-5.238483e-07	-6.816075e-07	-3.507383e-07	7240
531533	-5.238162e-07	-6.815935e-07	-3.508135e-07	7240
523277	-5.237840e-07	-6.815795e-07	-3.508886e-07	7240
515021	-5.237519e-07	-6.815656e-07	-3.509638e-07	7240
506765	-5.237197e-07	-6.815516e-07	-3.510389e-07	7240
498509	-5.236874e-07	-6.815376e-07	-3.511141e-07	7240
490253	-5.236553e-07	-6.815237e-07	-3.511893e-07	7240
481997	-5.236230e-07	-6.815097e-07	-3.512644e-07	7240
473741	-5.235908e-07	-6.814957e-07	-3.513395e-07	7240
465485	-5.235586e-07	-6.814817e-07	-3.514147e-07	7240
457229	-5.235263e-07	-6.814678e-07	-3.514898e-07	7240
448973	-5.234941e-07	-6.814538e-07	-3.515649e-07	7240
440717	-5.234618e-07	-6.814398e-07	-3.516401e-07	7240
432461	-5.234295e-07	-6.814258e-07	-3.517152e-07	7240
424205	-5.233972e-07	-6.814119e-07	-3.517903e-07	7240
415949	-5.233649e-07	-6.813979e-07	-3.518654e-07	7240
407693	-5.233326e-07	-6.813839e-07	-3.519405e-07	7240
399437	-5.233002e-07	-6.813700e-07	-3.520156e-07	7240
391181	-5.232679e-07	-6.813560e-07	-3.520907e-07	7240
382925	-5.232355e-07	-6.813421e-07	-3.521658e-07	7240
374669	-5.232032e-07	-6.813281e-07	-3.522409e-07	7240
366413	-5.231708e-07	-6.813141e-07	-3.523160e-07	7240
358157	-5.231385e-07	-6.813002e-07	-3.523910e-07	7240
349901	-5.231061e-07	-6.812862e-07	-3.524661e-07	7240
341645	-5.230737e-07	-6.812723e-07	-3.525412e-07	7240
333389	-5.230412e-07	-6.812583e-07	-3.526162e-07	7240
325133	-5.230088e-07	-6.812444e-07	-3.526913e-07	7240
316877	-5.229763e-07	-6.812304e-07	-3.527663e-07	7240
308621	-5.229439e-07	-6.812165e-07	-3.528414e-07	7240
300365	-5.229114e-07	-6.812025e-07	-3.529164e-07	7240
292109	-5.228790e-07	-6.811886e-07	-3.529915e-07	7240
283853	-5.228464e-07	-6.811746e-07	-3.530665e-07	7240
275597	-5.228139e-07	-6.811607e-07	-3.531415e-07	7240
267341	-5.227815e-07	-6.811467e-07	-3.532165e-07	7240
259085	-5.227489e-07	-6.811327e-07	-3.532916e-07	7240
250829	-5.227164e-07	-6.811188e-07	-3.533666e-07	7240
242573	-5.226839e-07	-6.811048e-07	-3.534416e-07	7240
234317	-5.226513e-07	-6.810909e-07	-3.535166e-07	7240
226061	-5.226187e-07	-6.810770e-07	-3.535916e-07	7240
217805	-5.225862e-07	-6.810630e-07	-3.536666e-07	7240
209549	-5.225536e-07	-6.810491e-07	-3.537416e-07	7240
201293	-5.225210e-07	-6.810351e-07	-3.538166e-07	7240
193037	-5.224884e-07	-6.810212e-07	-3.538916e-07	7240
184781	-5.224558e-07	-6.810072e-07	-3.539665e-07	7240
176525	-5.224231e-07	-6.809933e-07	-3.540415e-07	7240
168269	-5.223905e-07	-6.809794e-07	-3.541165e-07	7240
160013	-5.223578e-07	-6.809655e-07	-3.541914e-07	7240
151757	-5.223252e-07	-6.809515e-07	-3.542664e-07	7240
143501	-5.222925e-07	-6.809375e-07	-3.543414e-07	7240
135245	-5.222598e-07	-6.809236e-07	-3.544163e-07	7240
126989	-5.222271e-07	-6.809097e-07	-3.544912e-07	7240
